Organization,Permit_Adminid,Permit_Name,Facility_Name,Facility.Type,Facility_Status,Locality,mp_hydroid,MP_Name,MP_Type,Intake_Capacity_.MGD.,Source_of_Capacity_Estimate,X1985_Safe_Yield_.MGD.,X2005_Safe_Yield_.MGD.,Exemption_Code,Max_Pre.89_.MGY.,VDH_Total_Pumping_Capacity_.MGD.,X401_Certification_Limit_.MGD.,Max_Pre.89_.MGM.,mp_latitude,mp_longitude,facility_latitude,facility_longitude,X401_certification_comment,rfi_wd_capacity_mgy,final_exempt_propcode,final_exempt_propvalue_mgd
Hidden_for_privacy,90374,Hidden_for_privacy,Hidden_for_privacy,commercial,active,Loudoun,90456,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,39.018104,-77.447621,39.00875,-77.446712,NA,0,wsp2020_2020,0.045088683
Hidden_for_privacy,90374,Hidden_for_privacy,Hidden_for_privacy,commercial,active,Loudoun,226089,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,39.010001,-77.449978,39.00875,-77.446712,NA,0,wsp2020_2020,0.057651043
Hidden_for_privacy,69971,Hidden_for_privacy,Hidden_for_privacy,irrigation,abandoned,Loudoun,63511,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,38.93241,-77.61973,38.93241,-77.61973,NA,0,wsp2020_2020,0
Hidden_for_privacy,69971,Hidden_for_privacy,Hidden_for_privacy,irrigation,abandoned,Loudoun,63588,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,38.93241,-77.61973,38.93241,-77.61973,NA,0,wsp2020_2020,0
Hidden_for_privacy,0,Hidden_for_privacy,Hidden_for_privacy,municipal,proposed,Powhatan,456190,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,NA,NA,37.55676,-77.675789,NA,0,NA,0
Hidden_for_privacy,68808,Hidden_for_privacy,Hidden_for_privacy,municipal,inactive,Stafford,60377,Hidden_for_privacy,Surface Water Intake,6,VWUDS Form,0,0,1,1154.44,0,0,101.89,38.38972222,-77.47916667,38.38833333,-77.47166667,NA,0,intake_capacity_mgd,6
Hidden_for_privacy,69708,Hidden_for_privacy,Hidden_for_privacy,municipal,active,Bedford County,60190,Hidden_for_privacy,Surface Water Intake,24,VWUDS Form,169,209,1,1362.929,18,0,310.589,37.49416667,-79.22638889,37.49388889,-79.23277778,NA,0,safe_yield_2005,209
Hidden_for_privacy,71350,Hidden_for_privacy,Hidden_for_privacy,irrigation,inactive,Powhatan,63528,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,0.1,0,37.506815,-77.897696,NA,0,NA,0
Hidden_for_privacy,71350,Hidden_for_privacy,Hidden_for_privacy,irrigation,inactive,Powhatan,64036,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,0.1,0,37.506815,-77.897696,NA,0,NA,0
Hidden_for_privacy,70720,Hidden_for_privacy,Hidden_for_privacy,irrigation,active,Dinwiddie,58843,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,37.14717,-77.526,37.14717,-77.526922,NA,0,wsp2020_2020,0
