Pct.Diff.11_13,Pct.Diff.11_15,Pct.Diff.11_18,river.seg
0.083,-74.515,-42.212,PS0_6150_6160
0,-73.705,0,JU1_7690_7490
-0.388,-65.676,-17.15,JU3_6640_6790
-15.686,-63.663,-48.585,PS0_6160_6161
0,-62.794,-17.964,JU1_7630_7490
-0.012,-62.451,-44.136,JA1_7600_7570
0.843,-62.321,1.102,JU2_7450_7360
0.767,-62.074,-51.356,JU2_7360_7000
-7.818,-55.855,-29.114,PS2_6730_6660
-1.645,-53.901,-60.544,PS5_4380_4370
-0.236,-52.349,-20.858,PS5_4370_4150
0,-52.33,0,JU1_6880_7260
-3.168,-48.956,-46.187,JU3_6790_7260
0,-48.43,-1.362,JU2_6410_6640
0,-48.419,-33.578,JA2_7570_7480
-8.029,-46.643,-70.605,PS2_5560_5100
-1.694,-45.771,-50.949,JL1_6770_6850
-5.624,-45.716,-31.607,PS4_5080_4380
0,-45.576,2.833,JL1_6940_7200
0,-45.096,-4.671,JU2_7140_7330
0,-43.919,0,RU2_5500_5610
0,-43.504,-4.985,JU3_6380_6900
18.765,-42.452,-57.822,PS2_6660_6490
5.297,-41.415,7.53,JL1_7200_7250
2.817,-39.631,3.235,JL2_7250_7090
-0.095,-39.216,-3.798,JL2_6850_6890
0,-39.128,0,RU3_5610_5640
-0.076,-39.024,-14.465,JU4_7260_7380
0,-38.876,-2.762,JL1_7190_7250
-29.326,-38.665,-29.326,JL2_6240_6520
0,-37.91,0,JL1_7080_7190
-3.007,-37.505,-100,PS3_5100_5080
-27.149,-36.784,-11.987,JL2_6441_6520
-2.571,-36.265,-29.667,JU1_7560_7500
1.23,-36.177,-1.205,JL3_7090_7150
0,-36.073,0,JU1_6290_6590
0,-36.017,0,JU1_7750_7560
0,-35.988,1.975,PS1_4830_5080
0,-35.752,-26.366,YP1_6570_6680
0,-35.142,0,RU2_5810_5610
0,-33.978,-13.74,JL1_6760_6910
-25.402,-33.919,-84.548,YP3_6690_6720
0,-33.293,0,PS1_4790_4830
0,-33.218,-9.22,JL1_6910_6960
0,-32.987,0,PS2_5550_5560
-2.005,-32.604,-77.102,YP3_6470_6690
0,-32.566,-3.863,JU3_7490_7400
0,-31.462,0,JL1_6560_6440
7.55,-31.21,10.292,RU4_5640_6030
0,-31.113,-1.091,RU2_5220_5640
-4.047,-30.572,-36.248,JL2_7240_7350
0,-30.55,-2.015,JU3_7400_7510
-5.309,-30.516,-45.967,JA2_7550_7280
0,-30.395,-9.503,RU2_5940_6200
0,-30.308,-16.283,YP1_6680_6670
9.898,-30.005,-4.133,RU2_6220_6170
15.473,-29.878,34.416,RU2_6090_6220
0,-29.849,-0.856,RU2_6200_6170
0,-29.494,0,JL1_7530_7430
0,-29.44,-3.898,YM1_6370_6620
6.414,-29.307,0.894,RU5_6030_0001
11.444,-29.245,-13.577,PS2_6420_6360
-0.035,-29.196,-3.276,JU4_7380_7160
-4.301,-29.099,-0.044,RU4_6040_6030
4.545,-28.895,6.386,RU3_6170_6040
5.348,-28.782,-25.949,YM3_6430_6620
12.317,-28.199,-14.549,PS2_6490_6420
0,-27.921,0,JL2_6440_6441
0,-27.726,-53.609,JA1_7640_7280
-16.627,-26.782,-49.782,PS3_5990_6161
0,-26.716,0,JL2_7110_7120
0,-26.687,-9.785,JL2_7120_6970
-5.062,-26.252,-10.08,PS4_6360_5840
