runid_11,runid_13,runid_14,runid_15,runid_16,runid_18,Pct.Diff.11_13,Pct.Diff.11_14,Pct.Diff.11_15,Pct.Diff.11_16,Pct.Diff.11_18,river.seg
1023.094,998.354,1069.078,795.722,1470.097,310.351,-2.418,4.495,-22.224,43.691,-69.665,JL7_7070_0001
1051.585,1025.913,1087.986,821.431,1477.918,814.375,-2.441,3.462,-21.886,40.542,-22.557,JL7_6800_7070
4.71,4.71,4.872,3.656,6.344,4.71,0,3.434,-22.369,34.701,0,JL1_7170_6800
1048.919,1048.612,1098.525,852.157,1447.938,860.066,-0.029,4.729,-18.759,38.041,-18.005,JL7_7100_7030
25.224,25.224,27.77,17.204,36.78,24.682,0,10.095,-31.795,45.817,-2.148,JL3_7020_7100
1024.239,1023.919,1068.92,835.396,1381.996,835.995,-0.031,4.362,-18.437,34.929,-18.379,JL6_6740_7100
78.752,80.751,80.18,77.285,84.336,84.922,2.538,1.814,-1.863,7.09,7.835,JL4_6710_6740
75.488,77.542,79.016,60.534,112.194,77.996,2.721,4.673,-19.809,48.625,3.322,JL4_6520_6710
4.248,4.189,4.832,2.805,7.934,4.189,-1.382,13.753,-33.977,86.772,-1.382,JL2_6240_6520
856.387,853.67,894.615,663.856,1214.671,656.413,-0.317,4.464,-22.482,41.837,-23.351,JL6_6970_6740
22.136,22.136,24.759,15.871,36.32,21.186,0,11.849,-28.3,64.077,-4.291,JL2_7120_6970
20.16,20.16,22.542,14.506,33.262,20.16,0,11.816,-28.046,64.987,0,JL2_7110_7120
16.597,12.742,18.509,12.2,30.235,14.815,-23.226,11.523,-26.492,82.174,-10.735,JL2_6441_6520
6.325,6.325,6.585,4.587,9.06,6.325,0,4.105,-27.486,43.243,0,JL2_6440_6441
13.559,13.559,14.326,10.063,20.498,13.559,0,5.656,-25.782,51.182,0,JL1_6560_6440
836.782,834.086,872.336,649.78,1169.59,642.26,-0.322,4.249,-22.348,39.772,-23.246,JL6_6960_6970
16.409,16.409,17.618,11.781,26.37,15.592,0,7.369,-28.202,60.702,-4.979,JL1_6910_6960
14.158,14.158,15.082,10.072,22.507,13.063,0,6.521,-28.863,58.965,-7.732,JL1_6760_6910
818.942,816.251,852.925,637.334,1141.798,625.691,-0.329,4.15,-22.176,39.424,-23.598,JL6_6990_6960
