"runid_11","runid_13","runid_14","runid_15","runid_16","runid_18","Pct.Diff.11_13","Pct.Diff.11_14","Pct.Diff.11_15","Pct.Diff.11_16","Pct.Diff.11_18","river.seg"
0,0,0,0,0,0,0,0,0,0,0,"PS5_4370_4150"
1.754,4.084,1.754,1.754,1.754,154.763,132.798,0,0,0,8721.584,"PS5_4380_4370"
8.421,9.823,8.422,8.394,8.428,36.225,16.647,0.016,-0.324,0.089,330.183,"PS4_5080_4380"
1.349,1.349,1.349,1.326,1.368,1.166,0,0.036,-1.679,1.423,-13.533,"PS1_4830_5080"
0,0,0,0,0,0,0,0,0,0,0,"PS1_4790_4830"
0,0,0,0,0,26.897,0,0,0,0,100,"PS5_5200_4380"
3.097,3.68,3.097,3.097,3.097,6.237,18.817,0,0,0,101.384,"PS5_5240_5200"
0.409,0.417,0.409,0.409,0.409,93.846,2.125,0,0,0,22866.508,"PS4_5840_5240"
0,0,0,0,0,0,0,0,0,0,0,"PS4_6360_5840"
0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0.131,"PS2_6420_6360"
0.106,0.106,0.106,0.106,0.106,1.878,-0.006,-0.006,-0.006,-0.006,1671.792,"PS2_6490_6420"
1.049,1.212,1.049,1.049,1.049,16.319,15.539,0,0,0,1456.265,"PS2_6660_6490"
0.327,0.673,0.327,0.327,0.327,2.088,105.65,0,0,0,538.043,"PS2_6730_6660"
1.184,1.767,1.184,1.184,1.184,25.563,49.235,0,0,0,2058.883,"PS3_5100_5080"
1.48,1.85,1.48,1.478,1.48,9.681,25.046,0,-0.08,0,554.273,"PS2_5560_5100"
0,0,0,0,0,0,0,0,0,0,0,"PS2_5550_5560"
0.197,0.197,0.197,0.197,0.197,0,0,0,0,0,-100,"PS4_6230_6360"
0.311,0.467,0.311,0.311,0.311,0.35,50.179,0,0,0,12.383,"PS3_6280_6230"
0,0,0,0,0,0,0,0,0,0,0,"PS3_6161_6280"
0.287,0.412,0.287,0.279,0.292,2.322,43.264,-0.045,-2.955,1.802,708.405,"PS0_6160_6161"
0.028,0.028,0.028,0.028,0.029,0.217,-0.321,-0.142,-2.896,1.605,663.131,"PS0_6150_6160"
2.544,3.875,2.544,2.544,2.544,20.657,52.305,0,0,0,711.887,"PS3_6460_6230"
8.851,13.019,8.858,8.781,8.878,28.55,47.092,0.084,-0.782,0.307,222.579,"PS3_5990_6161"
0.248,0.263,0.248,0.248,0.248,1.531,6.167,0,0,0,518.415,"YM4_6620_0001"
